site,ido,keido,train,hour,minute,rinji
15,35.95411921,136.2170287,down2,7,14,
16,35.9687815,136.215476,down2,7,13,
17,36.00602189,136.2232084,down2,7,12,
18,36.01643618,136.2235517,down2,7,11,
19,36.03156916,136.2189168,down2,7,11,
20,36.04413021,136.2178633,down2,7,10,
21,36.05494258,136.2181561,down2,7,10,
22,36.06046657,136.2220607,down2,7,10,
23,36.06215635,136.2235144,down2,7,10,
24,36.06622689,136.2287961,down2,7,8,
25,36.07190789,136.2329936,down2,7,8,
26,36.08208533,136.2370934,down2,7,8,
27,36.09186705,136.244024,down2,7,7,
28,36.10259398,136.2450978,down2,7,7,
29,36.10961302,136.2446097,down2,7,7,
30,36.11978558,136.2442193,down2,7,6,
31,36.12554155,136.2450002,down2,7,6,
32,36.1353967,136.2489048,down2,7,6,
33,36.15037415,136.2528094,down2,7,5,
34,36.16314214,136.250369,down2,7,5,
35,36.17858705,136.2451954,down2,7,4,
36,36.1894597,136.2416813,down2,7,4,
37,36.20513572,136.2361172,down2,7,3,
38,36.21466584,136.2348483,down2,7,3,
39,36.22513975,136.235922,down2,7,3,
40,36.25497877,136.252907,down2,7,2,
41,36.2996766,136.3170399,down2,6,59,
42,36.31713957,136.3385152,down2,6,58,
43,36.32083619,136.3508146,down2,6,58,
44,36.32382481,136.3657497,down2,6,58,
45,36.32421804,136.3843941,down2,6,57,
46,36.32799296,136.4002077,down2,6,57,
47,36.33860895,136.4188521,down2,6,56,
48,36.35228964,136.4327134,down2,6,56,
49,36.37147,136.4419868,down2,6,55,
50,36.38349462,136.4493079,down2,6,54,
51,36.39944599,136.4526268,down2,6,54,
52,36.40281336,136.4527486,down2,6,54,
53,36.41610106,136.4543839,down2,6,53,
54,36.42968959,136.4625835,down2,6,53,
55,36.44429656,136.4800566,down2,6,52,
56,36.46643737,136.493625,down2,6,51,
57,36.4834705,136.5069983,down2,6,51,
58,36.50842473,136.5352089,down2,6,49,
59,36.5253142,136.5629901,down2,6,48,
60,36.53535544,136.5850922,down2,6,48,
61,36.55283912,136.6205407,down2,6,47,
62,36.56697342,136.6395826,down2,6,46,
63,36.57823804,136.6475734,down2,6,46,
1,35.64539102,136.0768759,down3,7,59,
2,35.65929747,136.0950707,down3,7,58,
3,35.68497762,136.1070751,down3,7,56,
4,35.70317626,136.1146778,down3,7,56,
5,35.76586476,136.1402872,down3,7,53,
6,35.81812155,136.1610947,down3,7,50,
7,35.84958885,136.1775007,down3,7,49,
